Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015883",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,523,10,480,0,33,0,0,0,551,129,0,0,0,0,414,8
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849,901,7,849,0,0,0,0,45,948,373,27,8,0,0,540,0
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,507,59,428,0,9,0,0,11,52,0,33,0,0,0,19,0
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,689,41,606,0,23,0,0,19,8,0,0,0,0,0,0,8
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,1031,128,852,0,6,0,0,45,236,199,18,0,0,0,19,0
"060372340005","15000US060372340005","Block Group 5, Census Tract 2340, Los Angeles County, California","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,292,2,279,0,8,0,0,3,372,357,0,0,0,0,7,8
"060372342001","15000US060372342001","Block Group 1, Census Tract 2342, Los Angeles County, California","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,664,35,586,0,35,0,0,8,27,0,0,0,0,0,27,0
"060372342002","15000US060372342002","Block Group 2, Census Tract 2342, Los Angeles County, California","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,33,630,0,14,9,10,49,0,0,0,0,0,0,0,0
"060372342003","15000US060372342003","Block Group 3, Census Tract 2342, Los Angeles County, California","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,820,98,585,0,109,0,0,28,103,88,0,0,0,15,0,0
"060372343001","15000US060372343001","Block Group 1, Census Tract 2343, Los Angeles County, California","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,1413,46,1185,0,79,0,0,103,119,0,0,0,0,0,28,91
"060372343002","15000US060372343002","Block Group 2, Census Tract 2343, Los Angeles County, California","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,930,0,910,0,0,0,0,20,0,0,0,0,0,0,0,0
"060372343003","15000US060372343003","Block Group 3, Census Tract 2343, Los Angeles County, California","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,636,82,525,0,11,0,0,18,141,114,0,0,0,0,12,15
"060372343004","15000US060372343004","Block Group 4, Census Tract 2343, Los Angeles County, California","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016115",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,898,11,726,0,85,0,0,76,17,6,0,0,0,0,0,11
