Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10059B_001,SE_A10059B_002,SE_A10059B_003,SE_A10059B_004,SE_A10059B_005,SE_A10059B_006,SE_A10059B_007,SE_A10059B_008,SE_A10059B_009,SE_A10059B_010,SE_A10057_001
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015231",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,0,0,6,51,0,8,27,20,1950
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,0,17,5,26,0,62,25,16,1956
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0,4,20,50,38,47,38,35,41,1966
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,0,0,19,46,80,10,0,41,11,1960
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015237",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,0,0,57,103,80,152,79,70,48,1965
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,0,11,110,54,25,56,0,11,47,1981
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,0,22,4,6,44,0,57,45,88,1947
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,0,0,31,10,12,26,10,50,137,1939
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015243",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,0,0,0,0,21,48,26,58,94,1939
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,0,0,0,66,75,23,14,0,227,1939
"060371871021","15000US060371871021","Block Group 1, Census Tract 1871.02, Los Angeles County, California","Block Group 1, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0,0,0,30,19,93,84,0,65,1955
"060371871022","15000US060371871022","Block Group 2, Census Tract 1871.02, Los Angeles County, California","Block Group 2, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,0,0,0,33,25,123,123,17,148,1954
"060371881001","15000US060371881001","Block Group 1, Census Tract 1881, Los Angeles County, California","Block Group 1, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015251",,,,,"06","037",,,,"188100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0,0,19,38,314,219,132,62,151,1963
"060371881002","15000US060371881002","Block Group 2, Census Tract 1881, Los Angeles County, California","Block Group 2, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015252",,,,,"06","037",,,,"188100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,0,0,9,12,0,32,35,63,1941
"060371881003","15000US060371881003","Block Group 3, Census Tract 1881, Los Angeles County, California","Block Group 3, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015253",,,,,"06","037",,,,"188100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,0,0,0,11,19,45,83,11,12,1953
"060371883001","15000US060371883001","Block Group 1, Census Tract 1883, Los Angeles County, California","Block Group 1, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015260",,,,,"06","037",,,,"188300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,0,0,13,0,12,41,37,19,149,1939
"060371883002","15000US060371883002","Block Group 2, Census Tract 1883, Los Angeles County, California","Block Group 2, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015261",,,,,"06","037",,,,"188300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,0,0,0,0,0,59,22,44,127,1939
"060371883003","15000US060371883003","Block Group 3, Census Tract 1883, Los Angeles County, California","Block Group 3, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015262",,,,,"06","037",,,,"188300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0,0,0,11,0,6,20,83,32,1940
